TIME	20170506_W05	20170506_W06 	20170506_W07	20170506_W08	20170512_W06	20170512_W08	20170512_W09	20170526_W04	20170526_W05	20170526_W06	20170530_W06	20170530_W07	20170530_W08	20170603_W07	20170603_W08	20170603_W09	20170603_W10	20170603_W12
105	3968.846	3496.711	1804.32	3421.672	2674.333	5767.964	6005.828	4186.218	7166.944	4410.479	2667.574	5043.059	2044.121	7482.096	9675.66	7966.613	10517.83	6722.888
106	3729.281	3326.755	1746.603	3381.588	2638.793	5680.549	5900.059	4077.677	6950.486	4365.94	2630.181	4970.814	2023.199	7405.253	9469.389	7770.714	10377.577	6621.689
107	3681.521	3279.448	1740.175	3426.835	2603.031	5580.784	5822.131	3955.328	6777.831	4301.857	2569.401	4848.029	2001.692	7289.735	9430.693	7726.521	10163.343	6481.5
108	3527.938	3215.082	1713.321	3404.781	2596.58	5475.403	5800.119	3822.192	6663.516	4238.113	2551.659	4721.041	1981.764	7098.318	9159.938	7560.209	10037.847	6428.246
109	3434.002	3130.287	1710.995	3384.33	2560.438	5342.96	5780.597	3722.915	6642.919	4182.298	2447.003	4545.41	1948.043	6921.159	9064.961	7435.918	9989.401	6355.363
110	3340.398	3077.028	1738.688	3321.59	2536.331	5252.703	5790.935	3616.761	6714.032	4130.232	2379.839	4379.806	1926.19	6813.499	9071.259	7364.014	10026.39	6317.998
111	3247.821	3073.075	1767.483	3273.555	2516.015	5183.363	5819.898	3531.763	6865.422	4123.493	2376.718	4246.221	1918.904	6734.199	9119.641	7252.172	9995.689	6327.703
112	3187.511	3087.609	1785.131	3257.949	2502.772	5135.452	5829.505	3495.683	7022.47	4107.516	2376.255	4187.368	1924.476	6566.011	9101.981	7192.355	10178.49	6376.849
113	3182.419	3140.814	1818.018	3167.015	2489.922	5132.356	5843.193	3471.447	7171.579	4068.407	2354.595	4156.721	1930.758	6558.274	9333.122	7206.435	10247.801	6414.952
114	3205.684	3210.196	1849.78	3175.194	2490.87	5180.712	5828.915	3466.87	7301.507	4053.817	2382.876	4131.926	1945.651	6516.454	9356.146	7150.335	10281.04	6503.746
115	3259.923	3257.181	1849.192	3146.542	2490.904	5255.207	5817.064	3507.137	7368.262	4021.588	2392.354	4177.926	1958.619	6501.749	9481.386	7193.97	10262.211	6560.207
116	3329.671	3266.126	1844.601	3137.418	2484.672	5317.054	5806.485	3526.007	7398.21	3996.211	2409.785	4238.624	1978.337	6490.553	9610.304	7302.621	10386.65	6581.562
117	3368.892	3246.645	1830.407	3120.793	2493.599	5425.117	5743.376	3529.818	7366.274	3958.674	2423.838	4350.504	2014.364	6560.204	9647.979	7312.892	10216.772	6609.256
118	3418.031	3196.971	1816.392	3092.58	2476.963	5490.174	5683.306	3511.781	7242.956	3912.098	2450.709	4439.597	2033.507	6535.799	9587.132	7372.721	10167.715	6605.097
119	3425.535	3168.858	1797.375	3118.974	2481.083	5494.807	5621.422	3466.826	7082.875	3862.385	2446.76	4515.204	2029.23	6608.307	9674.613	7418.771	10027.184	6524.423
120	3415.639	3088.976	1761.201	3077.777	2471.654	5487.332	5558.555	3411.743	6909.199	3800.153	2453.264	4560.212	2040.729	6548.643	9530.631	7376.887	9896.443	6500.258
121	3343.784	3010.958	1732.548	3025.851	2461.776	5460.987	5495.49	3344.258	6691.356	3735.631	2421.91	4578.707	2035.648	6548.019	9451.266	7256.03	9676.335	6481.547
122	3277.014	2888.473	1674.572	2980.511	2447.388	5369.4	5436.18	3253.709	6489.108	3674.149	2388.72	4540.704	2033.989	6546.63	9391.368	7244.354	9578.449	6364.587
123	3198.311	2812.322	1652.665	2921.953	2428.754	5266.799	5329.618	3167.459	6265.293	3631.854	2365.455	4474.898	1997.55	6432.572	9177.619	7182.716	9508.488	6321.328
124	3091.756	2743.746	1632.199	2891.37	2425.944	5147.388	5263.75	3083.054	6112.238	3573.928	2297.479	4369.978	1978.76	6343.944	9027.001	7101.054	9345.187	6258.624
125	2996.4	2664.037	1626.88	2827.328	2408.84	5027.447	5206.063	2986.745	5988.615	3526.263	2219.998	4255.698	1962.536	6320.431	8955.14	7030.794	9233.692	6183.485
126	2903.849	2618.601	1620.725	2749.652	2393.755	4927.146	5143.184	2904.783	5943.09	3485.029	2220.946	4150.677	1932.169	6196.561	8716.214	6912.561	9130.779	6210.019
127	2848.164	2628.26	1637.003	2696.879	2376.084	4834.52	5112.044	2861.432	5921.801	3455.29	2142.91	4003.196	1924.78	6115.026	8552.48	6847.415	9162.416	6179.37
128	2788.133	2604.514	1635.913	2617.926	2360.317	4765.583	5105.157	2813.602	5966.754	3422.004	2126.834	3900.32	1909.895	6038.47	8475.772	6725.643	9050.698	6182.207
