TIME	20170615_W07	20170615_W08	20170615_W09	20170615_W10	20170615_W11	20170615_W12	20170616_W02	20170616_W03	20170616_W04	20170616_W05	20170616_W06	20170626_W07	20170626_W08	20170626_W09	20170626_W10	20170626_W11	20170626_W12	20170630_W07	20170630_W09	20170630_W10
65	3006.629	3350.812	3142.164	3105.396	3060.159	4531.544	2234.921	1837.574	3700.221	1609.73	2088.858	2107.551	2095.714	2063.282	3625.164	2115.94	2070.82	3897.478	2543.105	4285.299
66	3028.655	3402.328	3238.706	3219.747	3129.714	4708.982	2295.476	1861.886	3952.935	1637.097	2215.5	2161.386	2134.703	2184.849	3723.202	2155.265	2061.791	4056.958	2592.953	4377.083
67	3049.123	3431.2	3323.446	3359.27	3154.507	4794.762	2362.107	1870.543	4154.571	1664.845	2340.417	2223.544	2193.026	2307.534	3805.111	2182.297	2062.479	4168.424	2600.175	4444.801
68	3074.398	3421.051	3398.806	3449.196	3156.735	4843.251	2431.656	1861.698	4345.245	1683.524	2436.659	2284.175	2239.995	2388.914	3819.891	2201.294	2070.175	4229.071	2592.97	4436.615
69	3097.859	3373.47	3437.95	3489.519	3109.002	4787.263	2455.939	1847.835	4478.012	1716.046	2504.167	2325.378	2276.411	2442.529	3790.115	2214.708	2083.065	4186.929	2571.327	4451.113
70	3084.47	3296.689	3425.384	3504.61	3035.046	4712.973	2467.04	1822.639	4527.028	1720.49	2528.2	2322.087	2286.084	2462.481	3724.135	2208.71	2106.452	4116.476	2559.554	4409.614
71	3045.71	3201.375	3407.472	3494.487	2955.421	4613.716	2445.535	1796.752	4488.096	1714.79	2509.958	2339.296	2268.207	2441.435	3624.731	2174.535	2129.727	4014.069	2542.921	4359.368
72	3017.179	3106.552	3369.106	3457.327	2885.312	4518.083	2429.049	1786.068	4456.887	1704.384	2472.689	2301.968	2217.366	2420.156	3522.639	2151.079	2163.175	3894.16	2545.772	4285.85
73	2995.437	3032.002	3295.032	3408.796	2814.873	4421.916	2390.688	1769.53	4360.13	1705.5	2421.561	2282.249	2194.306	2375.959	3447.952	2107.781	2193.511	3768.523	2539.874	4213.393
74	2960.451	2977.002	3241.733	3354.106	2766.519	4351.038	2345.961	1775.887	4269.632	1699.534	2366.094	2267.862	2138.96	2310.935	3390.569	2079.269	2232.417	3674.45	2541.24	4175.939
75	2946.408	2947.059	3212.033	3291.062	2738.407	4343.095	2320.868	1800.854	4174.709	1697.76	2340.791	2223.302	2106.167	2264.58	3368.171	2048.804	2261.593	3658.107	2586.784	4141.077
76	2942.867	2987.065	3206.647	3292.085	2729.571	4347.851	2318.056	1861.936	4157.699	1739.05	2337.99	2212.2	2093.068	2230.929	3404.996	2021.275	2285.949	3726.659	2595.236	4158.566
77	2973.141	3081.187	3237.116	3343.98	2775.567	4450.511	2322.745	1907.261	4214.771	1769.28	2312.028	2208.633	2075.381	2236.845	3530.975	2002.951	2307.383	3875.554	2610.972	4191.731
78	3024.669	3246.958	3256.51	3412.923	2804.668	4619.445	2332.706	1947.885	4342.36	1828.505	2328.75	2219.263	2089.687	2278.74	3697.922	1986.999	2301.114	4083.863	2629.719	4216.989
79	3072.194	3477.244	3307.634	3519.656	2880.66	4839.28	2363.432	1983.742	4533.671	1888.731	2382.818	2249.602	2097.218	2323.917	3863.057	1975.495	2299.917	4309.973	2636.092	4264.626
80	3150.694	3681.68	3391.708	3661.403	2934.988	4958.085	2393.593	2013.371	4767.242	1960.67	2429.27	2293.704	2117.623	2379.839	3980.244	1962.139	2297.156	4503.64	2641.795	4293.004
81	3183.769	3845.077	3429.585	3744.681	2972.523	5081.094	2428.205	2016.13	4942.043	2009.122	2497.831	2348.419	2143.46	2441.77	4064.389	1953.523	2297.823	4603.463	2606.531	4295.109
82	3196.342	3914.874	3453.008	3819.967	2974.131	5126.87	2435.764	2007.807	5113.986	2028.484	2544.312	2388.125	2161.488	2469.138	4072.475	1946.845	2304.137	4655.81	2561.093	4281.598
83	3175.327	3924.196	3445.912	3844.718	2959.333	5136.606	2437.118	1987.233	5230.276	2043.51	2553.191	2366.059	2166.873	2480.413	4038.459	1942.283	2288.178	4622.297	2542.826	4279.432
84	3127.056	3877.066	3406.746	3829.752	2916.932	5077.504	2412.663	1956.159	5303.078	2033.361	2542.476	2390.852	2135.681	2472.819	3975.611	1932.269	2287.914	4557.064	2503.482	4231.511
85	3086.016	3765.8	3348.51	3813.834	2862.619	4998.077	2383.375	1930.404	5299.72	2023.263	2524.269	2397.546	2124.66	2450.342	3903.146	1910.823	2297.149	4439.493	2481.283	4171.83
86	3022.759	3647.469	3268.7	3773.146	2809.509	4921.875	2350.637	1902.596	5244.476	1991.101	2518.096	2374.012	2092.92	2409.21	3787.541	1888.988	2321.777	4291.493	2455.139	4109.859
87	2967.031	3532.189	3195.725	3742.811	2770.373	4869.694	2322.009	1884.23	5179.939	1977.686	2463.316	2370.842	2068.47	2380.82	3680.048	1879.971	2363.914	4166.112	2443.241	4036.346
88	2929.156	3461.206	3134.857	3737.924	2735.965	4773.355	2283.771	1899.815	5119.295	1968.952	2433.99	2350.945	2020.966	2337.968	3586.052	1862.277	2394.532	4073.44	2455.536	3979.859
89	2943.879	3455.323	3115.398	3767.773	2715.782	4785.526	2268.721	1924.738	5079.453	1979.88	2416.242	2322.044	1999.493	2302.845	3510.913	1846.265	2437.342	4024.337	2464.567	3974.313
90	2961.708	3488.301	3107.687	3807.048	2714.64	4790.76	2259.46	1973.586	5126.528	2027.625	2421.079	2324.032	1975.747	2305.791	3502.443	1833.278	2486.646	4033.263	2460.975	3959.797
