TIME	20190130_W01	20190139_W02	20180130_W03	20190130_W04	20190130_W05	20190130_W06	20190131_W05	20190131_W06	20190131_W07	20190131_W08	20190207_W06	20190207_W07	20190207_W08	20190208_W06	20190208_W07	20190208_W08	20190208_W09	20190208_W10	20190214_W06	20190214_W09	20190214_W10	20190219_W05	20190219_W06	20190219_W07	20190219_W08	20190219_W09	20180510_W16	20180510_W15	20180510_W14	20180510_W13	20180506_W05	20180506_W06
57	1012.770508	1036.563843	1036.132935	1113.336182	946.381409	824.59082	947.322998	1004.072083	659.3172	977.553467	1169.295654	1174.084351	2068.366211	692.628052	829.585266	792.34668	929.961853	1026.949097	923.737732	866.867004	1075.237305	698.209229	400.55011	482.829254	1012.727844	683.950806	580.843	496.55	480.364	502.647	994.048	950.24
58	959.394287	1005.552124	992.356445	1041.172363	898.18396	795.258606	940.812439	992.631897	653.504822	971.065369	1168.509644	1147.463867	2008.415649	681.751343	814.352478	773.909485	909.796204	1016.865479	904.819458	858.061218	1046.755493	689.128113	396.917877	481.753265	997.872864	673.477051	570.633	488.351	472.862	487.907	979.552	929.971
59	945.788635	983.069214	975.037109	1023.689697	897.085449	811.123291	920.019409	976.683472	643.525269	962.000061	1166.854126	1167.147461	2017.535156	676.451416	799.776062	759.599792	905.005615	1011.829163	886.921692	842.72052	1030.174194	676.296997	390.896851	477.212708	987.554443	673.654907	571.785	489.924	473.68	489.17	972.076	921.479
60	931.996521	943.124695	943.904358	979.477234	875.491943	789.938843	904.522034	953.668091	642.052612	966.550659	1144.436035	1170.157349	1977.824097	673.42511	778.181274	745.887939	902.641663	1004.883545	866.254944	838.23761	1015.310852	660.160095	388.76474	469.743042	964.746033	663.275452	578.467	489.179	476.284	487.572	967.96	913.534
61	998.70166	939.569885	978.661926	980.250488	880.349609	807.423035	885.235413	920.744751	639.276367	982.47406	1162.931641	1205.905762	1976.873291	663.301819	771.884888	732.792725	900.10321	998.555115	855.564636	835.864258	1022.247559	647.197449	383.17923	460.816681	969.573303	658.982239	580.545	486.179	478.793	486.806	967.918	902.997
62	1027.782715	926.35553	994.649231	985.098267	872.592163	809.041748	878.545044	906.633911	648.828369	1004.866333	1166.755981	1207.469604	1940.580933	650.837036	758.743286	729.620544	903.027222	990.795959	840.417847	835.140442	1037.670288	640.937683	378.563171	451.655945	962.642944	663.791016	583.747	486.413	478.664	486.202	976.662	900.277
63	1084.441406	921.617676	1050.837646	1005.726196	866.52832	804.0271	864.283142	887.999756	656.959656	1013.061157	1200.681152	1228.358032	1935.599487	646.659302	761.620483	725.731812	906.825256	977.385498	830.500183	832.923279	1053.87793	634.763916	378.028503	446.784973	960.945068	650.480347	584.453	487.079	484.163	495.871	985.908	896.641
64	1122.204712	914.097656	1106.866455	1034.84729	885.526306	828.188782	853.459778	876.001709	664.246643	1017.825806	1204.884766	1226.315308	1936.715576	645.154663	756.616455	713.963501	901.655396	971.663086	827.045288	841.634277	1063.244385	624.184265	376.476471	449.021545	961.406067	616.688721	584.928	496.171	482.868	496.07	972.114	896.815
65	1153.268188	908.60022	1152.48584	1049.349976	898.46637	828.50946	851.348511	865.425537	674.757141	1031.599365	1247.931763	1259.076782	1932.299072	637.064453	756.68988	717.178772	905.293091	981.13623	826.596252	838.663452	1079.159058	628.268433	378.010498	456.893311	975.636353	623.399597	589.578	501.16	489.175	499.449	994.546	908.241
66	1179.237427	928.169617	1214.871338	1094.933105	942.6297	865.39624	861.8703	881.700806	680.016296	1036.664917	1251.841675	1263.761841	1883.631226	640.465454	779.849854	740.743774	930.926086	990.084656	833.000305	859.421204	1065.941772	628.94397	379.179749	460.213379	980.948669	631.162048	590.888	513.239	486.82	502.44	987.562	913.522
