TIME	20190130_W09	20190130_W11	20190130_W12	20190130_W13	20190131_W02	20190131_W03	20190131_W04	20190207_W01	20190208_W02	20190208_W03	20190208_W04	20190208_W05	20190214_W02	20190214_W03	20190214_W05	20190219_W01	20190219_W02	20190219_W03	20190219_W04	20180510_W04	20180510_W03	20180510_W02	20180510_W01	20180506_W02
74	1822.081543	1439.861694	989.258545	1453.92395	1084.697876	774.796875	836.429077	1937.772095	735.545471	790.891235	950.168945	681.99646	1032.550659	755.589417	758.486572	720.027588	770.260193	425.85968	946.862244	458.024	477.394	516.197	816.396	1007.755
75	1802.721436	1423.593384	971.424561	1448.941284	1069.697388	772.960999	832.308716	1942.028076	721.501343	786.422974	969.065063	684.510254	1028.44812	752.051025	748.654785	721.890015	763.177734	426.692139	957.275452	452.883	478.512	518.477	827.183	1013.926
76	1834.259888	1476.805298	985.566223	1460.768555	1067.95752	768.989258	828.418396	1919.25293	709.048523	777.014343	983.138367	683.684631	1023.697571	755.926697	744.380798	713.480591	762.820496	425.972961	952.664001	452.784	477.686	515.077	826.916	1004.04
77	1816.39624	1488.20166	980.267639	1427.544922	1064.304565	757.358093	801.091187	1872.931641	710.570251	771.886658	993.209045	676.240356	1036.83374	750.242737	739.254578	704.200806	763.90863	425.198639	950.109741	454.25	482.731	521.608	822.857	1012.686
78	1823.526733	1498.118896	977.616516	1343.239014	1080.625488	752.830078	793.191711	1916.331909	705.590576	768.859192	1005.009277	674.940491	1026.313477	755.282043	740.19397	690.264709	754.170166	421.417511	944.186768	450.881	484.14	515.398	834.255	1005.937
79	1798.659912	1533.441528	1018.427856	1337.292236	1079.855591	750.960144	771.504761	1887.044067	709.267639	764.981323	1012.596008	671.200928	1012.638794	748.82666	753.254578	692.82135	757.108887	428.573822	952.250244	446.852	482.146	512.434	821.602	1003.391
80	1757.110229	1504.307861	1039.077637	1281.428467	1089.748657	752.669067	757.11499	1895.086914	711.592957	756.873901	1008.736023	663.530212	1011.646729	751.034424	781.767273	689.61261	757.888062	426.244904	948.219177	449.363	484.629	518.411	816.392	1026.831
81	1794.101074	1521.751709	1068.5802	1250.547729	1102.836914	764.420227	746.111633	1886.598022	723.816101	753.522888	1016.201416	664.367737	993.470825	754.0448	797.786682	687.663391	764.449829	422.987488	940.458862	444.147	486.387	514.996	827.483	1016.305
82	1765.166748	1483.778076	1059.85376	1210.186523	1108.572998	779.739441	735.428345	1901.039795	723.347534	742.864197	1005.479553	662.628662	986.730469	750.996033	806.065063	682.952148	761.227539	419.090332	939.166626	442.835	492.536	515.371	823.517	1038.726
83	1781.327637	1486.084351	1064.233765	1133.288452	1109.806274	808.431641	747.146423	1887.475952	750.147034	757.224792	1010.4823	663.646484	987.369629	766.059082	825.356262	685.422302	771.905212	420.239685	925.128174	436.161	489.836	515.639	813.894	1028.874
