TIME	20180119_W02	20180119_W03	20180119_W04	20180119_W05	20180127_DB_W02	20180127_DB_W03	20180127_DB_W04	20180127_DB_W05	20180518_W02	20180518_W03	20180518_W04	20180518_W05	20180518_W06	20180519_W07	20180519_W02	20180519_W03	20180519_W04	20180519_W05	20180519_W06	20180519_W07
75	14232.971	6042.63	6306.686	26917.439	5394.599	4328.362	1848.424	3327.911	8870.369	9799.709	12249.836	15697.697	11864.271	14928.893	3259.636	8632.526	12410.989	10031.227	9457.252	12312.886
76	14495.334	6143.1	6388.577	26927.721	5358.423	4351.665	1827.148	3252.181	8618.686	9409.836	12355.124	15596.994	11711.179	14783.103	3143.688	8389.954	12247.533	9990.042	9292.719	12439.883
77	14509.323	6192.572	6431.485	26900.408	5373.355	4437.089	1861.385	3219.234	8522.226	9125.312	12299.198	15415.842	11582.938	14823.67	3125.497	8349.726	12366.601	10126.942	9179.945	12505.781
78	14640.085	6352.674	6560.046	26995.244	5345.822	4444.49	1887.205	3160.52	8392.538	9013.81	12432.089	15537.036	11579.366	14851.057	3067.701	8214.942	12345.745	9997.987	9020.316	12472.046
79	14362.561	6351.722	6541.635	26707.459	5320.219	4571.885	1940.322	3135.598	8125.633	8579.402	12365.866	15501.888	11490.116	14778.353	2983.011	8019.297	12234.863	9777.158	8810.286	12311.056
80	14331.716	6424.131	6593.767	26226.578	5262.343	4677.276	1954.785	3068.841	7908.76	8304.776	12036.294	15043.406	11249.319	14651.474	2990.419	8110.651	12546.933	9856.097	8774.791	12214.089
81	13991.224	6342.858	6611.464	26257.301	5237.208	4735.678	1984.913	3026.787	7581.661	7943.534	11768.305	14903.348	11233.509	14295.771	2956.044	8092.964	12660.573	9664.587	8594.126	12086.592
82	13738.736	6322.981	6669.181	26150.959	5184.713	4782.517	1986.533	2957.719	7526.261	7769.755	11557.432	14606.888	11108	13819.83	2926.048	8018.385	12829.081	9547.495	8409.702	12066.51
83	13565.172	6276.696	6650.03	25936.506	5165.598	4819.604	1998.911	2896.319	7238.122	7447.268	11338.487	14528.252	11148.904	13695.579	2911.849	7995.487	13189.795	9430.172	8228.359	11928.277
84	13517.135	6304.567	6882.96	26190.336	5108.979	4776.348	2001.75	2839.556	7066.599	7160.02	11125.765	14172.71	10897.001	13310.455	2883.081	7912.789	13420.407	9356.024	8024.57	11921.765
85	13626.748	6274.074	6927.533	26136.471	5060.324	4725.852	1991.229	2775.823	6967.077	6941.52	11000.683	13734.853	10463.522	12933.292	2787.969	7700.136	13472.918	9230.081	7792.614	11924.762
86	13639.323	6322.393	7093.333	26474.254	4962.468	4645.102	1986.401	2711.502	6826.736	6659.001	10785.771	13498.955	10197.272	12736.513	2727.314	7559.625	13573.535	9165.365	7623.027	11836.724
87	13836.198	6363.524	7203.295	26442.037	4950.494	4606.595	1977.132	2670.779	6868.842	6528.427	10815.55	13193.642	9821.689	12603.508	2713.339	7502.606	13739.717	9147.582	7491.901	11887.809
88	13980.537	6408.788	7318.876	26779.42	4953.425	4600	2028.288	2672.778	6621.505	6264.031	10740.543	13110.464	9661.93	12588.655	2655.47	7378.292	13626.943	8917.757	7160.296	11676.53
89	14259.917	6516.36	7390.082	26712.885	4915.066	4587.193	2038.613	2640.394	6630.834	6099.104	10527.432	12707.225	9266.618	12527.69	2626.575	7196.875	13613.124	9017.721	7220.231	12005.156
90	14247.854	6439.882	7337.141	26250.537	4889.879	4590.518	2057.056	2636.067	6393.878	5770.533	10260.703	12430.468	8982.591	12516.521	2603.823	7045.085	13399.478	8878.246	7047.423	11827.243
91	14549.24	6484.235	7344.96	25810.514	4802.146	4548.857	1996.132	2557.98	6198.5	5571.219	10089.554	12138.183	8560.639	12157.624	2562.244	6832.307	13151.991	8721.809	6881.941	11661.442
92	14377.88	6429.881	7268.169	25069.256	4740.731	4558.763	2004.369	2524.137	6162.718	5422.352	9792.416	11748.17	8209.218	11975.015	2587.605	6824.422	13325.592	8697.296	6803.881	11650.917
93	14265.079	6370.355	7341.261	24524.309	4639.158	4579.743	2009.632	2488.355	5955.824	5271.798	9641.104	11700.592	8104.959	11909.277	2575.849	6677.067	13259.202	8619.244	6634.58	11497.252
94	14110.606	6309.943	7502.782	24040.133	4556.029	4599.208	2007.961	2447.011	5772.247	5104.513	9375.547	11538.866	7875.22	11628.376	2503.067	6488.625	13098.877	8355.258	6391.89	11319.482
95	13882.087	6200.838	7715.722	23842.781	4443.085	4572.85	1999.737	2411.493	5646.357	4995.774	9064.875	11101.265	7462.471	11189.059	2517.607	6494.859	13058.913	8153.512	6207.842	11147.195
96	13880.642	6116.774	7888.668	23264.857	4344.204	4506.029	1986.725	2366.418	5610.915	4913.331	8893.946	10864.779	7134.411	10869.193	2505.254	6414.381	13353.188	8157.145	6204.381	11431.62
97	13538.373	5961.942	7976.042	23007.484	4295.85	4438.102	1966.029	2336.645	5507.65	4807.137	8817	10791.73	6923.254	10696.539	2484.696	6317.701	13449.835	8156.794	6083.153	11179.216
98	13672.249	5932.117	8170.825	22735.061	4260.044	4356.976	1943.049	2305.088	5592.171	4759.312	8623.914	10513.152	6641.072	10498.304	2469.668	6269.914	13381.039	7975.228	5968.41	11301.415
99	13419.335	5841.557	8212.11	22538.916	4206.375	4289.947	1928.087	2283.129	5487.669	4646.004	8464.708	10254.773	6302.547	10223.22	2471.502	6150.333	13243.224	7886.179	5869.803	11179.569
100	13673.658	5903.747	8247.866	22009.504	4179.141	4195.037	1913.081	2269.833	5415.23	4515.188	8270.349	10055.853	6045.067	10073.545	2441.931	6011.239	13047.098	7680.468	5712.775	11049.828
101	13586.172	5807.812	8083.285	21609.119	4166.559	4128.431	1893.975	2257.453	5423.923	4478.174	8309.667	10104.543	5851.144	10021.893	2434.109	5914.448	12880.576	7650.595	5640.999	10959.484
102	13837.412	5868.347	8049.682	21257.969	4133.464	4082.962	1865.001	2242.224	5375.5	4428.651	8155.027	9861.531	5535.778	9830.963	2414.13	5774.086	12603.327	7515.541	5537.693	10757.81
103	13793.229	5870.271	7993.884	20839.725	4176.823	4099.671	1905.031	2282.101	5267.332	4324.612	7903.847	9651.841	5417.555	9901.687	2402.418	5692.174	12435.724	7359.814	5440.832	10602.975
104	14024.095	5965.308	8081.066	20400.268	4160.413	4072.655	1913.493	2286.002	5133.326	4239.666	7789.339	9492.305	5140.977	9643.788	2419.138	5627.775	12325.516	7209.637	5254.946	10198.059
105	13895.913	5802.693	8006.644	19740.795	4126.607	4059.026	1908.853	2279.074	5111.964	4249.969	7801.689	9351.686	4891.266	9442.498	2413.849	5571.491	12184.172	7152.691	5253.585	10365.198
106	14004.083	5719.641	8182.066	19337.812	4046.39	3986.861	1851.251	2235.299	4952.635	4164.282	7650.621	9309.333	4760.498	9464.924	2401.025	5454.956	12033.107	7010.409	5138.614	10301.845
107	14025.78	5639.601	8417.041	18803.033	3975.491	3927.738	1845.361	2202.408	4857.634	4173.343	7607.955	9155.959	4552.826	9308.086	2371.097	5423.298	11973.546	6922.549	5081.098	10224.587
108	14073.112	5647.774	8772.831	18342.482	3968.865	3902.365	1845.884	2187.356	4785.604	4122.347	7478.298	8900.784	4357.062	9095.536	2365.361	5330.118	11883.842	6830.515	5011.917	10243.856
109	13928.38	5533.473	8961.233	18037.393	3928.714	3837.383	1838.443	2177.337	4693.293	4038.786	7353.514	8667.831	4219.398	8959.449	2349.426	5250.695	11899.634	6713.571	4913.968	10215.981
110	13765.664	5450.084	9094.851	17729.748	3894.237	3782.042	1814.049	2143.699	4792.87	4059.679	7315.658	8569.132	4103.23	8800.745	2330.368	5221.311	11876.45	6617.854	4813.57	10194.073
111	13686.86	5466.291	9266.675	17472.764	3854.498	3674.96	1797.089	2127.404	4843.994	4071.135	7332.124	8575.961	4019.586	8713.839	2294.073	5067.565	11481.701	6374.136	4701.919	9958.116
112	13666.123	5435.702	9214.934	17045.119	3845.868	3588.316	1787.186	2116.218	4857.84	4064.151	7421.05	8671.699	3928.5	8465.406	2308.477	5120.625	11716.425	6464.884	4766.087	10157.9
113	13409.377	5387.826	9197.812	17037.148	3840.556	3518.099	1781.404	2100.669	4945.22	4059.43	7314.074	8426.234	3795.81	8257.244	2256.629	4953.83	11399.345	6273.775	4661.33	9947.363
114	13437.961	5392.708	8921.83	16588.334	3838.749	3482.985	1771.286	2086.232	4956.664	4040.285	7191.406	8309.459	3677.322	8023.616	2290.656	4941.517	11484.302	6300.927	4637.959	9738.802
115	13214.738	5415.221	8940.84	16496.764	3827.924	3416.683	1747.331	2074.872	5048.166	4119.29	7328.699	8247	3605.353	7890.818	2281.542	4866.528	11177.985	6216.097	4557.293	9616.867
116	13128.01	5398.382	8865.924	16119.91	3816.092	3359.581	1730.59	2063.508	4986.416	4040.967	7301.556	8200.029	3579.042	7882.496	2270.216	4799.244	11037.443	6167.938	4535.867	9439.476
117	13143.148	5362.065	8997.684	15918.133	3777.941	3291.284	1716.551	2045.222	4980.364	4109.533	7377.902	8150.878	3486.687	7690.573	2282.054	4818.428	10995.514	6193.641	4531.009	9350.729
118	13205.543	5386.975	9169.687	15477.616	3813.347	3317.273	1763.556	2084.173	4928.041	4111.048	7444.592	8123.065	3483.501	7645.834	2265.282	4794.25	10855.945	6145.822	4459.804	9272.916
119	12925.601	5288.015	9425.408	15162.899	3795.606	3297.167	1776.14	2080.311	4894.8	4031.064	7400.066	8073.461	3431.237	7643.831	2274.649	4684.796	10647.226	6048.917	4387.437	9209.313
120	12932.235	5232.514	9808.821	14941.912	3772.596	3274.911	1803.232	2086.938	4752.936	4044.755	7559.523	8061.872	3412.003	7570.046	2275.473	4619.586	10492.071	6034.234	4327.693	9237.348
121	12819.687	5122.495	10095.891	14596.678	3666.47	3173.032	1751.586	2027.326	4750.271	4059.012	7558.599	7852.689	3309.909	7381.776	2246.579	4533.87	10373.559	5958.015	4295.396	9188.068
122	12868.862	5124.528	10440.654	14406.571	3629.372	3112.15	1753.405	2008.799	4709.147	4080.576	7602.388	7907.679	3345.455	7418.83	2297.995	4571.069	10470.479	6025.408	4341.373	9380.202
123	12736.805	5065.586	10490.451	14022.636	3586.022	3045.936	1746.345	2007.007	4722.36	4106.104	7707.65	7885.284	3284.431	7234.528	2275.943	4502.304	10382.485	5938.616	4273.622	9371.695
124	12656.525	5014.766	10561.73	13938.189	3586.834	2963.892	1748.26	1992.857	4796.212	4114.938	7678.973	7785.878	3233.858	7036.25	2264.008	4448.197	10244.932	5863.468	4226.077	9329.351
125	12559.922	4961.084	10459.14	13841.595	3546.33	2872.905	1742.327	1973.001	4710.693	4115.754	7727.339	7855.892	3283.946	7017.851	2246.59	4370.54	10062.125	5778.477	4187.023	9273.835
126	12405.218	4953.254	10569.169	14032.716	3537.332	2823.515	1735.603	1973.727	4771.486	4151.375	7795.11	7863.673	3272.906	6794.977	2284.329	4333.731	10092.272	5770.556	4186.851	9219.572
127	12432.966	4902.995	10313.627	13764.863	3530.195	2761.679	1722.198	1978.994	4847.426	4201.042	7786.988	7770.933	3235.335	6672.702	2267.797	4274.223	9911.214	5742.745	4167.802	9058.716
128	12375.673	4945.022	10411.761	13716.806	3503.955	2695.976	1700.131	1984.087	4822.292	4179.297	7705.016	7748.299	3245.652	6558.122	2282.06	4239.928	9741.238	5606.271	4000.073	8660.398
129	12166.291	4895.161	10449.515	13659.334	3483.048	2640.359	1682.597	1979.06	4829.843	4242.566	7795.455	7819.796	3254.001	6471.483	2292.97	4169.892	9639.399	5674.008	4114.646	8801.737
130	12167.01	4951.864	10841.08	13594.498	3431.785	2577.576	1666.269	1964.088	4930.297	4308.149	7849.636	7707.944	3227.52	6364.539	2318.245	4121.712	9562.943	5662.403	4126.977	8741.503
