TIME	20171005_DB_W05	20171005_DB_W06	20171005_DB_W07	20171005_DB_W08	20171005_DB_W09	20190530_W07	20190530_W08	20190530_W09	20190530_W10	20190530_W11	20190530_W12	20190531_W01	20190531_W02	20190531_W03	20190531_W04		
114	1040.197	1559.008	2627.634	1352.702	3118.959	1436.083	2228.605	2337.535	2479.664	2085.277	1652.595	5337.157	4934.912	8779.809	3940.446		
115	1046.42	1537.014	2624.05	1332.397	3055.215	1440.212	2199.885	2325.517	2446.131	2071.734	1628.691	5338.605	4891.736	8872.443	3898.131		
116	1039.193	1504.636	2586.333	1320.799	2975.557	1420.222	2173.755	2287.487	2411.966	2041.481	1616.759	5321.681	4849.427	8796.377	3824.415		
117	1042.287	1483.959	2543.587	1304.729	2896.201	1385.866	2115.299	2254.243	2350.876	1982.124	1607.451	5259.949	4789.371	8611.765	3768.489		
118	1043.179	1468.928	2493.722	1288.835	2808.486	1352.888	2090.403	2186.868	2295.085	1910.047	1591.359	5174.343	4694.596	8291.725	3695.385		
119	1028.202	1452.391	2429.913	1275.209	2705.053	1334.781	2044.77	2119.849	2237.834	1841.036	1545.804	5066.181	4584.883	7919.793	3636.958		
120	1027.226	1437.833	2372.168	1262.986	2612.138	1295.838	1993.167	2062.506	2195.616	1764.818	1507.678	4969.989	4472.049	7602.363	3556.755		
121	1017.452	1428.056	2322.769	1264.445	2540.818	1282.939	1897.664	1990.929	2121.334	1693.432	1487.052	4863.729	4341.371	7259.552	3499.543		
122	1001.994	1429.253	2265.935	1257.573	2485.76	1261.356	1858.694	1925.657	2064.598	1643.81	1455.274	4740.784	4229.749	7004.661	3431.833		
123	993.64	1408.218	2217.229	1248.04	2432.353	1270.88	1788.023	1890.88	2023.068	1617.93	1439.619	4619.958	4125.327	6854.459	3368.179		
124	1005.323	1408.1	2215.473	1246.372	2407.233	1296.759	1763.792	1842.296	1970.431	1593.056	1415.353	4541.487	4057.17	6875.87	3355.001		
125	1002.162	1401.631	2225.789	1249.126	2388.244	1327.23	1706.468	1812.32	1923.302	1586.627	1397.588	4420.526	3958.647	6967.381	3311.358		
126	994.943	1392.12	2215.662	1238.633	2375.851	1340.287	1686.481	1783.864	1858.293	1592.856	1366.589	4331.458	3896.384	7191.433	3270.31		
127	991.784	1391.707	2230.997	1237.2	2361.339	1354.312	1641.776	1772.734	1823.478	1592.764	1357.115	4233.751	3812.657	7420.223	3223.069		
128	987.557	1380.779	2226.762	1231.15	2332.235	1366.238	1611.69	1778.747	1778.411	1592.281	1339.739	4172.256	3764.534	7630.509	3181.175		
129	999.468	1371.934	2228.393	1235.961	2315.306	1353.304	1605.777	1769.141	1735.593	1583.241	1317.284	4087.699	3712.806	7743.583	3143.505		
130	1006.662	1364.54	2191.455	1234.273	2267.962	1333.905	1594.355	1762.483	1694.642	1578.827	1292.745	4022.814	3671.281	7721.537	3093.64		
131	1007.194	1371.742	2154.766	1226.716	2221.547	1305.308	1543.366	1744.995	1648.45	1535.804	1267.148	3955.49	3643.333	7583.738	3053.95		
132	1007.504	1373.6	2134.239	1232.068	2177.534	1274.431	1504.896	1715.866	1619.131	1504.391	1237.177	3878.294	3601.402	7394.286	3011.101		
133	1010.333	1376.178	2087.036	1232.365	2128.085	1247.061	1472.842	1674.122	1581.568	1468.312	1212.445	3797.17	3550.883	7166.504	2984.603		
134	1004.64	1375.555	2032.939	1233.484	2078.499	1204.294	1431.656	1648.002	1528.409	1425.242	1178.452	3710.184	3507.251	6887.198	2952.201		
135	1008.764	1374.671	1996.325	1229.115	2034.33	1181.312	1383.164	1597.3	1488.395	1389.906	1150.033	3589.218	3427.5	6635.915	2906.572		
136	1008.857	1383.381	1961.865	1236.275	1998.251	1171.882	1357.196	1547.14	1459.316	1359.984	1113.733	3491.784	3379.778	6429.96	2885.012		
137	1006.451	1396.031	1948.655	1236.809	1990.137	1156.206	1310.794	1515.18	1431.21	1340.528	1110.393	3366.954	3322.454	6333.332	2859.891		
138	1010.405	1407.295	1935.538	1245.264	1973.217	1186.378	1303.905	1501.084	1412.606	1352.204	1094.254	3297.465	3294.089	6324.709	2859.241		
139	1011.897	1418.387	1929.179	1256.014	1982.867	1205.125	1276.675	1484.871	1382.529	1348.896	1079.776	3208.806	3271.664	6406.97	2846.959		
140	1012.993	1425.225	1946.767	1248.182	1981.363	1224.018	1254.568	1477.569	1351.757	1360.367	1051.287	3113.592	3245.813	6558.274	2801.911		
141	1006.536	1424.769	1936.656	1249.435	1984.182	1230.08	1233.591	1481.017	1328.338	1373.513	1037.879	2980.747	3190.312	6677.435	2750.996		
142	997.38	1421.085	1949.441	1250.999	1989.35	1231.451	1236.52	1491.389	1304.057	1379.98	1036.747	2894.522	3173.176	6884.645	2734.778		
143	1004.186	1433.627	1952.753	1251.906	1972.469	1223.113	1229.905	1503.179	1278.319	1381.292	1024.792	2820.034	3162.44	6994.515	2711.17		
144	1009.331	1442.473	1962.859	1258.779	1963.642	1214.618	1219.281	1503.099	1255.493	1374.248	1022.388	2730.745	3140.634	6990.331	2681.683		
145	1012.16	1456.105	1953.677	1264.242	1957.793	1184.101	1212.587	1495.893	1235.504	1355.3	1003.533	2648.747	3129.353	6920.767	2662.642		
