TIME	20170616_W09	20170616_W10	201702616_W11	20180127_LSM780_W08	20180127_LSM780_W09	20180127_LSM780_W10	20180127_LSM780_W11	20190127_LSM780_W12	20180203_NLO_W07	20180203_NLO_W09	20180324_W05	20180329_W08	20180329_W09	20190329_W10	20190329_W12	20180331_W02	20180331_W04	20180331_W05	20180402_W08	20180402_W09	20180402_W10	20180402_W12	20180402_W13	20180402_W14	20180403_W08	20180403_W09	20180403_W10	20180403_W11	20180403_W12	20180403_W13	20180413_W05	20180413_W06	20180413_W07	20180413_W08	20180413_W09	20180414_NLO_W04	20180414_NLO_W05	20180414_NLO_W06	20180414_NLO_W07
32	2752.46	2870.851	2710.596	3609.854	3736.084	4763.593	5933.839	9478.512	3532.42	2352.484	2569.597	4495.341	3809.904	2061.025	2021.862	3135.976	2332.812	2577.926	1379.423	5032.676	4609.447	1484.393	5357.183	5638.392	3720.49	6117.142	4783.971	769.111	976.451	5395.099	7727.648	4379.244	6304.876	3867.663	6840.404	9280.964	6754.906	1565.842	2447.96
33	2856.377	2827.886	2734.497	3454.899	3768.16	4752.734	5804.488	9488.436	3482.509	2324.272	2709.034	4654.187	3781.005	2090.741	1941.988	3185.323	2414.766	2545.027	1345.622	5031.977	4647.258	1506.739	5570.397	5701.084	3661.209	5903.551	4776.279	769.227	986.071	5312.521	7685.763	4317.214	6407.717	3894.933	7419.999	9488.1	6690.521	1559.769	2673.128
34	3008.792	2788.141	2815.86	3271.99	3641.106	4662.108	5551.64	9240.252	3531.632	2335.836	2911.851	4706.231	3838.757	2127.111	1900.561	3319.219	2492.234	2492.283	1338.917	5062.748	4949.935	1557.326	5909.086	6014.705	3619.851	5683.03	4803.612	774.364	1034.644	5386.385	7533.271	4219.5	6537.153	3904.204	8038.675	9624.487	6495.33	1521.808	2925.268
35	3170.764	2753.116	2947.879	3169.214	3647.085	4776.096	5520.718	9339.782	3600.624	2388.74	3087.233	4732.264	4050.378	2155.501	1903.628	3544.184	2571.044	2447.172	1421.084	5176.305	5470.251	1631.769	6227.489	6392.226	3668.642	5432.945	4877.243	794.49	1083.972	5641.995	7316.386	4116.284	6581.81	3818.806	8543.013	10298.912	6573.472	1512.927	3280.905
36	3342.312	2774.473	3133.979	3097.952	3614.06	4895.878	5510.393	9618.943	3630.467	2479.152	3201.024	4741.09	4330.414	2210.678	1947.109	3864.546	2636.527	2419.457	1499.399	5082.849	5829.264	1658.62	6210.563	6597.497	3854.337	5239.417	5027.663	810.072	1129.896	6060.752	6986.304	3974.513	6612.907	3732.828	8920.546	10955.217	6887.997	1507.906	3728.576
37	3491.271	2824.802	3361.348	3141.245	3653.901	5154.717	5739.217	10245.066	3769.095	2600.413	3299.63	4785.758	4787.083	2295.552	2040.603	4199.781	2688.031	2426.171	1679.157	5278.266	6481.121	1756.253	6420.556	7027.118	4159.208	5137.711	5301.628	835.7	1174.164	6610.368	6738.129	3904.782	6645.469	3665.926	9209.418	12177.653	7598.318	1564.289	4162.001
38	3588.79	2912.692	3566.243	3312.764	3757.139	5457.042	6104.278	11012.612	3963.347	2751.202	3316.19	4844.579	5244.649	2421.999	2203.585	4566.756	2735.741	2536.029	1795.309	5361.255	6806.355	1794.934	6342.408	7093.144	4546.589	5258.662	5714.94	872.378	1201.004	7154.095	6617.963	3922.299	6672.817	3613.941	9180.283	12850.628	8269.677	1641.459	4535.474
39	3625.162	3023.987	3709.605	3479.287	3832.985	5711.904	6406.355	11895.142	4222.569	2939.625	3328.87	4939.643	5720.516	2557.401	2397.481	4839.947	2776.124	2693.239	1929.104	5667.121	7150.173	1877.923	6456.923	7382.626	4921.95	5600.731	6125.947	912.447	1251.156	7679.476	6672.796	4085.173	6801.165	3682.557	9108.188	13718.55	9248.581	1749.082	4721.084
40	3643.344	3180.826	3818.314	3808.868	4016.448	6044.231	6889.16	12897.786	4390.574	3040.814	3337.821	5042.068	6097.713	2705.639	2575.882	5037.763	2833.287	2926.444	2011.957	5987.178	7227.667	1936.747	6342.289	7355.134	5312.048	6084.31	6589.292	942.741	1273.427	8075.009	7022.111	4388.656	7045.35	3806.482	8998.654	14046.306	10144.013	1883.844	4914.088
41	3621.031	3289.584	3830.721	4009.077	4086.342	6103.84	7101.391	13243.846	4574.632	3132.497	3259.22	5209.942	6261.062	2883.344	2703.264	5117.197	2856.351	3140.559	2064.577	6323.944	7202.407	2004.894	6394.375	7485.727	5567.197	6606.388	6975.48	969.948	1270.526	8270.044	7413.352	4742.48	7260.789	3980.503	8820.688	14516.09	10790.573	1989.057	4914.546
