TIME	20170605_W01	20170605_W02	20170605_W03	20170605_W05	20180415_780_W02	20180415_780_W03	20180415_780_W05	20180421_DB_W02	20180421_DB_W03	20180421_DB_W05	20180421_DB_W06	20180421_NLO_W02	20180421_NLO_W03	20180421_NLO_W04	20180422_780_W02	20180422_780_W03	20180422_780_W05	20180429_DB_W02	20180429_DB_W03	20180429_DB_W04	20180429_DB_W05	20180505_780_W02	20180505_780_W03	20180505_780_W04
58	4919.582	3243.596	5283.361	5541.052	8926.003	2945.176	13191.422	12998.276	4025.815	6751.457	4909.804	8012.562	8674.503	2230.393	9101.048	4546.096	10132.462	11607.113	7791.166	10771.803	10313.223	1727.818	6759.548	1559.112
59	4966.459	3314.324	5489.464	5711.245	9123.635	2934.057	13068.41	13036.745	3964.104	6810.552	4977.834	8542.736	8676.017	2169.911	8747.463	4600.112	10573.267	11333.777	7917.935	10816.923	10360.16	1742.37	6931.144	1565.932
60	4956.395	3358.846	5636.291	5750.084	9420.981	3008.39	13381.652	12885.714	3885.237	6818.804	5115.874	9096.36	8739.186	2173.769	8669.766	4556.428	10896.492	11019.146	8029.04	10702.896	10318.647	1738.087	7036.171	1588.189
61	4921.757	3372.732	5722.74	5812.229	9519.571	3102.491	13635.853	12568.414	3943.304	6940.548	5277.52	9403.981	8629.789	2166.879	8597.064	4528.849	10847.452	10893.417	8193.603	10702.879	10222.007	1761.224	7129.773	1607.816
62	4862.747	3377.033	5712.132	5783.395	9575.844	3242.783	14122.225	12115.041	3970.825	7032.863	5464.044	9742.301	8631.652	2181.925	8986.9	4587.065	11002.671	10942.381	8378.556	10724.343	10174.083	1770.972	7142.042	1644.333
63	4820.04	3376.163	5705.159	5735.952	9664.281	3451.718	14756.339	11842.61	4101.292	7067.995	5719.994	9844.437	8723.524	2261.062	9659.598	4673.994	10921.188	11283.7	8601.037	10931.086	10101.823	1811.139	7134.468	1660.764
64	4800.192	3363.147	5651.531	5768.971	9547.784	3560.351	14956.498	11553.968	4333.322	7089.699	5968.849	9653.121	8667.747	2302.616	10102.458	4656.484	10674.834	11772.669	8841.571	11131.264	10081.617	1778.748	7069.96	1681.155
65	4779.838	3412.344	5526.013	5764.93	9553.312	3778.36	15595.704	11466.142	4595.716	7076.128	6188.65	9670.994	8866.457	2404.574	10766.068	4841.338	10763.772	12217.231	9046.099	11458.416	10110.048	1857.243	7074.526	1732.551
66	4808.011	3454.74	5466.701	5824.651	9418.722	3797.196	15609.163	11587.577	4860.137	7112.607	6357.548	9514.104	9000.535	2502.498	11101.667	4948.757	10545.698	12671.185	9230.328	11812.775	10333.935	1850.454	7002.56	1756.908
67	4883.514	3456.108	5357.651	5929.759	9434.503	3855.547	15787.577	11960.448	5127.927	7129.951	6439.763	9266.064	9028.496	2535.396	11354.055	5090.92	10781.817	13059.886	9385.952	12230.152	10675.796	1943.037	7150.217	1819.742
68	5039.36	3521.657	5293.405	6046.1	9374.561	3762.312	15558.711	12393.73	5321.02	7206.049	6408.168	9265.965	9081.034	2576.773	11269.415	5248.976	10725.414	13382.593	9466.523	12464.714	10958.606	1986.963	7237.668	1856.558
69	5251.368	3563.29	5440.169	6174.923	9550.271	3756.192	15603.119	12938.065	5492.925	7261.979	6378.857	9226.127	9130.354	2624.464	11233.125	5449.951	11065.278	13530.086	9544.026	12844.599	11144.529	2064.165	7447.325	1903.003
