TIME	20170929_W07	20170929_W08	20170929_W09	20170929_W10	20170929_W11	20170929_W12	20190619_W06	20190619_W07	20190619_W08	20190619_W09	20190619_W10	20190702_W06	20190702_W07	20190702_W08	20190702_W09
131	1628.147	2644.671	1339.753	2539.349	2340.173	4773.484	1081.945	1263.719	1737.177	3294.668	1860.307	1735.112	1249.055	2417.852	2145.047
132	1630.935	2638.276	1316.77	2508.636	2316.079	4698.001	1072.019	1276.06	1713.903	3192.497	1839.787	1738.501	1238.043	2427.039	2100.167
133	1620.56	2590.104	1286.861	2471.689	2284.58	4576.274	1047.138	1264.286	1693.291	3099.234	1816.201	1743.095	1227.917	2418.59	2070.403
134	1620.737	2551.224	1257.053	2414.706	2228.899	4414.835	1037.795	1280.512	1680.787	3028.365	1792.592	1718.395	1198.318	2336.726	2020.052
135	1617.078	2497.211	1242.599	2371.281	2167.309	4265.305	1034.587	1280.453	1665.676	3065.774	1782.573	1673.151	1170.053	2277.269	1962.803
136	1608.487	2435.025	1211.152	2322.742	2121.757	4153.468	1021.184	1291.058	1660.853	3086.229	1804.744	1619.556	1153.01	2177.89	1903.662
137	1603.136	2378.511	1206.594	2306.952	2086.579	4105.97	1014.734	1297.019	1636.926	3136.571	1828.079	1569.826	1128.901	2107.835	1864.604
138	1608.418	2348.674	1185.858	2298.801	2067.885	4051.268	999.503	1298.977	1643.97	3225.585	1863.981	1531.363	1115.126	2071.069	1849.915
139	1610.283	2310.594	1170.193	2289.939	2036.002	4017.615	1004.891	1293.355	1632.016	3323.523	1896.637	1503.844	1118.884	2040.015	1853.442
140	1612.767	2305.735	1159.027	2302.673	2011.045	4044.677	1002.073	1308.563	1634.364	3393.059	1884.829	1466.703	1126.63	1996.054	1877.751
141	1629.085	2325.662	1171.231	2333.833	2039.965	4106.64	998.787	1314.323	1649.74	3507.331	1928.626	1452.383	1162.18	2045.542	1933.235
142	1670.843	2391.075	1189.779	2387.278	2051.4	4173.829	1010.226	1341.932	1664.298	3503.061	1906.623	1507.483	1214.939	2087.227	1989.741
143	1693.282	2421.086	1163.171	2414.447	2051.71	4218.828	1030.762	1345.721	1657.339	3460.413	1907.536	1544.85	1246.595	2161.172	2026.023
144	1717.313	2467.639	1133.06	2412.723	2030.276	4204.812	1032.159	1323.405	1632.512	3427.32	1856.41	1594.483	1281.426	2184.18	2054.753
