TIME	20180119_W06	20180127_DB_W08	20180127_DB_W09	20180127_DB_W11	20180127_DB_W13	20180518_W08	20180518_W09	20180518_W10	20180518_W11	20180518_W12	20180518_W13	20180519_W08	20180519_W09	20180519_W10	20180519_W11	20180519_W12	20180519_W13
80	13311.986	3419.631	2879.26	3729.749	5454.894	3525.355	12858.264	4276.384	13728.894	10310.961	3477.587	4773.892	9704.686	3146.921	3367.224	8248.267	8320.048
81	13119.979	3326.614	2827.895	3645.448	5334.562	3395.695	12115.519	4074.465	13255.396	10093.619	3461.036	4621.642	9363.735	3072.167	3268.338	7995.446	7927.453
82	12604.526	3210.284	2748.039	3566.473	5298.962	3295.312	11592.51	3955.053	12498.746	9782.199	3446.489	4486.638	9050.768	3002.68	3134.912	7726.267	7787.501
83	12181.535	3106.62	2652.364	3518.756	5245.947	3253.76	11059.743	3800.36	11957.833	9539.813	3545.45	4361.902	8760.802	2948.563	3012.328	7484.823	7559.027
84	11927.051	3036.86	2582.776	3515.912	5254.482	3125.545	10569.688	3695.187	11805.403	9605.507	3728.419	4329.186	8577.665	2914.618	2918.25	7378.103	7419.911
85	11606.713	2988.761	2502.702	3512.54	5238.069	3059.897	10273.127	3579.077	11586.009	9492.559	3925.292	4367.825	8458.622	2937.048	2816.159	7354.261	7350.882
86	11602.78	2977.229	2455.288	3542.347	5237.747	2959.092	9809.495	3432.469	11739.293	9638.627	4207.475	4449.274	8401.565	3009.051	2744.297	7452.499	7297.397
87	11428.314	3007.719	2425.894	3582.361	5202.047	2923.338	9617.159	3382.059	11820.379	9520.376	4343.503	4635.706	8516.93	3126.384	2704.089	7499.775	7360.95
88	11636.58	3072.785	2452.928	3653.739	5144.997	2858.571	9622.257	3308.913	12328.43	9598.616	4497.707	4743.593	8559.006	3218.952	2644.954	7607.554	7447.973
89	11760.811	3116.344	2455.69	3668.045	5058.614	2849.889	9860.819	3367.369	12957.654	9630.253	4584.012	5087.525	8882.633	3393.71	2664.048	7812.439	7639.782
90	11796.147	3178.849	2473.072	3674.967	4938.566	2898.631	10027.523	3347.878	13078.826	9534.939	4647.247	5231.969	8974.95	3501.217	2651.625	7940.924	7753.883
91	11808.89	3170.842	2471.849	3650.333	4819.567	2821.55	10011.146	3386.5	13365.758	9493.332	4614.373	5364.915	9011.943	3555.156	2643.17	8072.913	7793.841
92	11785.081	3177.992	2465.122	3616.515	4697.758	2837.872	10117.305	3352.924	13078.738	9169.964	4474.833	5438.222	9072.779	3564.054	2595.716	8094.103	7812.527
93	11566.273	3138.263	2446.906	3567.255	4575.182	2868.306	10089.752	3329.005	12851.566	8888.885	4342.949	5398.706	8916.642	3537.602	2553.236	7986.302	7656.658
94	11152.247	3073.097	2406.458	3494.008	4449.865	2805.411	9818.729	3247.835	12433.381	8630.15	4293.209	5327.06	8663.689	3412.65	2501.287	7843.059	7474.044
95	10978.201	2992.551	2340.041	3406.305	4329.676	2779.658	9706.306	3211.009	12062.478	8346.245	4111.527	5155.874	8349.778	3288.258	2419.901	7617.04	7207.935
96	10511.268	2889.168	2273.014	3305.989	4252.204	2714.844	9204.977	3067.428	11305.764	7985.514	4020.217	5131.917	8254.347	3228.554	2367.943	7458.163	7079.034
97	10296.896	2787.157	2200.561	3220.876	4249.258	2673.458	8801.582	2987.41	10865.176	7835.051	4019.171	4843.006	7698.651	3067.016	2263.428	7120.437	6738.283
98	9997.298	2683.863	2124.889	3163.758	4269.116	2635.756	8603.778	2898.395	10519.819	7691.611	4067.78	4858.067	7727.154	3057.013	2265.788	7114.916	6636.934
99	9775.07	2608.113	2071.411	3154.871	4330.426	2597.286	8254.944	2796.721	10027.081	7516.195	4209.706	4798.875	7522.738	3001.998	2196.778	6900.565	6437.302
100	9439.004	2549.591	2028.413	3210.611	4404.705	2553.896	7745.278	2672.804	9582.192	7493.929	4472.923	4773.36	7375.818	2969.02	2090.563	6639.863	6168.209
101	9499.383	2532.82	2012.753	3303.148	4494.172	2523.719	7455.724	2577.562	9389.811	7435.622	4699.707	4836.702	7333.3	3157.278	2154.732	6826.757	6299.482
102	9609.527	2540.099	2014.392	3430.648	4562.105	2517.299	7220.315	2524.054	9499.709	7608.16	4969.533	4904.886	7360.105	3256.867	2134.912	6803.486	6224.186
103	9744.888	2598.998	2064.941	3561.492	4611.475	2573.67	7037.889	2497.32	9393.632	7605.853	5194.462	5081.495	7409.573	3351.964	2146.635	6932.517	6196.106
104	9800.534	2651.486	2107.402	3705.705	4631.372	2548.546	6751.786	2454.432	9465.202	7685.772	5383.868	5129.536	7327.619	3384.314	2128.557	7018.427	6107.284
105	10001.334	2692.019	2147.608	3803.455	4601.069	2555.008	6547.444	2442.118	9433.756	7571.855	5337.843	5416.993	7641.339	3552.382	2165.181	7252.024	6152.077
106	10094.187	2693.695	2194.486	3847.417	4549.013	2624.441	6402.054	2460.691	9437.662	7542.34	5330.448	5509.464	7694.474	3609.718	2169.927	7402.626	6057.008
107	10068.225	2687.291	2222.714	3864.69	4466.931	2642.874	6393.851	2498.598	9397.076	7372.444	5168.738	5580.299	7733.663	3603.53	2153.49	7371.756	5917.509
108	9906.391	2662.247	2230.241	3852.314	4380.636	2628.741	6213.297	2498.934	9280.002	7254.373	5017.285	5544.461	7648.806	3577.374	2161.172	7404.398	5835.774
109	9727.277	2599.377	2228.151	3790.018	4276.725	2631.244	6019.072	2438.497	8840.896	7075.084	4933.566	5471.339	7489.606	3499.109	2112.026	7195.858	5609.914
110	9478.566	2530.28	2185.461	3689.589	4191.077	2653.682	5906.107	2384.646	8574.192	6855.278	4704.185	5347.451	7302.398	3399.552	2079.447	7074.646	5439.162
111	9184.53	2440.425	2141.406	3586.65	4118.686	2644.838	5746.01	2333.967	8110.531	6616.658	4519.373	5088.84	6960.332	3293.007	2039.003	6846.149	5227.827
112	8752.687	2355.916	2087.881	3505.505	4112.22	2607.017	5556.709	2301.66	7868.525	6513.669	4466.353	5012.831	6793.296	3220.901	2040.836	6683.636	5090.777
113	8641.792	2281.646	2044.781	3420.697	4135.965	2612.601	5447.323	2241.137	7544.831	6442.488	4523.769	4842.567	6562.877	3129.383	2001.692	6459.811	4902.581
114	8462.58	2216.871	1987.742	3355.4	4175.871	2548.082	5167.819	2149.429	7316.909	6445.289	4728.411	4710.437	6381.77	3084.315	1967.079	6313.959	4744.407
115	8481.192	2162.518	1955.305	3366.151	4287.944	2563.805	5039.953	2133.131	7256.672	6577.393	4909.766	4582.187	6247.96	3082.224	1969.527	6173.587	4674.981
116	8419.432	2142.677	1938.054	3410.42	4395.336	2592.867	4870.816	2084.324	7102.462	6649.984	5187.651	4512.636	6149.15	3091.486	1974.441	6078.67	4631.214
117	8606.168	2136.726	1950.633	3498.31	4528.22	2578.587	4728.79	2050.519	7320.206	6908.142	5597.807	4495.967	6124.895	3154.888	1997.698	6049.744	4605.318
118	8693.24	2166.932	1977.203	3604.634	4598.407	2623.37	4599.258	1987.791	7388.528	7036.613	5837.514	4510.509	6127.247	3198.91	2013.219	6046.063	4600.134
119	8925.6	2198.03	2007.402	3707.1	4633.737	2702.91	4484.449	1969.51	7281.747	7034.393	6120.31	4524.45	6193.234	3263.379	2043.908	6081.495	4598.612
120	8973.074	2223.78	2037.77	3760.909	4606.033	2726.377	4313.341	1949.224	7253.659	7105.349	6223.844	4598.194	6287.518	3316.712	2086.306	6100.798	4608.19
121	8996.781	2213.644	2047.926	3819.971	4565.244	2809.009	4260.107	2016.199	7362.119	7075.771	6288.181	4639.995	6369.237	3369.559	2116.345	6083.654	4593.542
122	8961.564	2214.02	2061.033	3822.69	4478.945	2834.716	4117.072	1970.932	7120.454	6991.527	6304.986	4675.254	6418.696	3380.263	2116.153	6079.183	4553.258
123	8690.968	2182.002	2069.208	3795.896	4373.163	2871.263	4026.536	1975.578	7035.676	6899.132	6194.167	4633.121	6318.599	3355.341	2117.971	5936.216	4464.873
124	8537.004	2155.671	2065.092	3733.713	4242.829	2868.217	3913.309	1944.837	6775.305	6612.013	5969.033	4527.326	6223.86	3300.547	2112.899	5862.836	4393.165
125	8399.971	2127.009	2042.885	3655.785	4130.078	2881.821	3871.448	1938.246	6550.636	6409.183	5786.346	4409.313	6027.025	3253.828	2093.445	5704.165	4255.527
126	8231.156	2073.796	2015.85	3568.952	4046.762	2840.322	3787.777	1917.783	6478.515	6359.757	5680.968	4289.973	5872.83	3167.308	2062.198	5548.557	4170.449
127	8056.978	2027.084	1974.522	3469.507	4000.23	2835.368	3796.31	1927.846	6249.744	6175.204	5470.059	4134.746	5688.267	3085.875	2030.897	5402.608	4025.435
128	7853.475	1971.361	1944.268	3392.745	3999.921	2832.092	3698.084	1898.237	6011.046	6121.348	5461.497	3910.765	5402.676	2973.215	1990.117	5207.505	3896.461
129	7906.317	1934.553	1926.043	3328.089	4059.743	2788.624	3646.229	1864.788	5932.341	6169.109	5450.746	3871.06	5421.874	2976.95	2028.039	5167.171	3779.139
130	7795.042	1911.295	1901.86	3302.818	4176.106	2784.252	3671.508	1885.277	5965.174	6264.36	5638.11	3806.856	5343.219	2957.427	2057.436	5089.88	3814.634
131	7943.952	1915.705	1908.63	3334.717	4272.709	2785.163	3570.831	1835.603	5977.52	6401.942	5896.27	3752.308	5312.939	2970.87	2064.378	5076.88	3754.961
132	7996.537	1930.069	1918.687	3399.77	4408.804	2800.028	3577.467	1856.602	6118.19	6596.432	6168.554	3723.057	5326.015	2974.475	2110.188	5011.694	3735.674
133	8058.714	1986.877	1972.761	3511.182	4514.089	2829.605	3541.527	1842.123	6147.244	6645.764	6455.731	3714.919	5336.964	2985.84	2157.693	5027.199	3722.398
